,price,address,beds,reception,bathrooms,contact_number
263,"£550,000","Halstow Way, Pitsea, Basildon, Essex SS13",5,2,2,
264,"£270,000","Shepeshall, Basildon SS15",3,1,1,
265,"£220,000","Britten Avenue, Basildon, Essex SS14",2,1,1,
266,"£750,000","Fletchers, Basildon, Essex SS16",5,2,2,
267,"£220,000","Britten Avenue, Basildon SS14",2,1,1,
268,"£220,000","Basildon, Essex, United Kingdom SS14",,,,
269,"£550,000","Berry Lane, Langdon Hills, Essex SS16",4,2,2,
270,"£250,000","Basildon, Essex SS14",2,1,1,
271,"£230,000","Pickwick Close, Laindon, Basildon, Essex SS15",2,1,1,
272,"£410,000","School Avenue, Basildon SS15",4,2,3,
273,"£195,000","Warwick Crescent, Laindon, Basildon, Essex SS15",1,1,1,
274,"£265,000","Havengore, Basildon, Essex SS13",3,2,1,
275,"£320,000","Wickham Place, Basildon SS16",4,1,2,
276,"£230,000","Brempsons, Basildon, Essex SS14",3,1,1,
277,"£180,000","Southernhay, Basildon, Essex SS14",1,1,1,
278,"£250,000","Warwick Crescent, Laindon, Basildon, Essex SS15",2,1,1,
279,"£500,000","Langdon Hills, Basildon, Essex SS16",4,2,1,
280,"£400,000","Tangham Walk, Basildon SS14",4,1,3,
281,"£230,000","Gladwyns, Laindon, Basildon SS15",2,1,1,
282,"£325,000","Northampton Grove, Langdon Hills, Essex SS16",3,1,2,
283,"£280,000","Cross Green, Basildon SS16",2,2,2,
284,"£210,000","Copperfields, Laindon, Basildon SS15",2,1,1,
285,"£350,000","Montague Street, Basildon SS14",3,2,3,
286,"£300,000","Sunnedon, Basildon SS16",3,1,2,
287,"£350,000","Southcote Crescent, Basildon, Essex SS14",3,2,2,
288,"£325,000","Lee Chapel South, Essex, United Kingdom SS16",3,1,2,
289,"£350,000","Beeleigh East, Basildon, Essex SS14",4,2,2,
290,"£230,000","Cherrydown East, Basildon, Essex SS16",2,1,2,
291,"£240,000","Alexander Road, Langdon Hills, Basildon, Essex SS16",2,1,1,
292,"£180,000","Pitsea, Basildon, Essex SS13",2,1,1,
293,"£425,000","Eisenhower Road, Basildon, Essex SS15",4,2,1,
294,"£281,000","Eisenhower Road, Basildon, Essex SS15",4,2,1,
295,"£375,000","Warwick Crescent, Basildon SS15",3,1,3,
296,"£189,000","Copperfields, Laindon, Essex SS15",,,,
297,"£140,000","South Crockerford, Vange, Basildon SS16",1,1,1,
298,"£350,000","Montague Street, Basildon, Essex SS14",3,2,1,
299,"£350,000","Basildon, Essex, United Kingdom SS14",,,,
300,"£275,000","Long Acre, Basildon, Essex SS14",3,1,1,
301,"£280,000","Abrahams Close, Basildon SS14",2,1,2,
302,"£300,000","Gobions, Basildon, Essex SS16",3,2,1,
303,"£320,000","Britten Avenue, Basildon SS14",2,1,3,
304,"£375,000","Cumberland Drive, Laindon, Basildon SS15",3,1,1,
305,"£400,000","Bruton Link, Basildon SS15",3,1,2,
306,"£290,000","Ayletts, Basildon SS14",3,1,1,
307,"£315,000","Blackthorn Court, Langdon Hills, Basildon SS16",2,1,1,
308,"£325,000","Abrahams Close, Basildon SS14",2,1,3,
309,"£275,000","Rosecroft Close, Langdon Hills, Basildon, Essex SS16",,,,
310,"£375,000","Abingdon Close, Basildon SS15",3,1,2,
311,"£275,000","Driftway, Basildon, Essex SS16",4,1,1,
312,"£270,000","Buckingham Road, Laindon, Essex SS15",2,1,1,
313,"£668,995F","""Harrogate"" at Little Malgraves Industrial Estate, Lower Dunton Road, Bulphan, Upminster RM14",,,,
314,"£260,000","Beambridge Place, Basildon SS13",3,1,1,
315,"£225,000","Cherrydown East, Basildon, Essex SS16",,,,
316,"£260,000","Buckerills, Basildon, Essex SS13",,,,
317,"£350,000","Gun Hill Place, Woodlands Estate, Kingswood SS16",4,1,1,
318,"£400,000","Sparrows Herne, Basildon, Essex SS16",4,1,1,
319,"£210,000","Southernhay Close, Basildon SS14",2,1,1,
320,"£229,000","Bramble Tye, Laindon, Basildon, Essex SS15",2,1,1,
321,"£210,000","Churchill Avenue, Basildon SS14",2,1,1,
322,"£195,000","Warwick Crescent, Basildon SS15",1,1,1,
323,"£255,000","Rectory Road, Pitsea, Basildon SS13",,,,
324,"£275,000","Driftway, Basildon, Essex SS16",4,1,1,
325,"£250,000","Basildon, Essex, United Kingdom SS15",3,1,2,
326,"£335,000","The Slades, Basildon, Essex SS16",3,1,1,
327,"£290,000","Kent View Road, Vange, Basildon SS16",3,1,1,
328,"£500,000","Royston Avenue, Basildon, Essex SS15",5,1,2,
329,"£585,000","Stamford Drive, Basildon, Essex SS15",5,3,3,
330,"£200,000","Walnut Close, Basildon SS15",2,1,1,
331,"£325,000","Basildon, Essex, United Kingdom SS16",3,1,1,
332,"£215,000","Curling Tye, Basildon, Essex SS14",3,2,1,
333,"£325,000","Curling Tye, Basildon, Essex SS14",3,2,1,
334,"£265,000","Nightingale Grove, Basildon SS14",2,1,1,
335,"£400,000","Little Bentley, Basildon SS14",5,3,2,
336,"£230,000","Langdon Hills, Basildon, Essex SS16",2,1,1,
337,"£550,000","Kennedy Avenue, Basildon, Essex SS15",5,2,3,
338,"£587,000","Calvinia Close, Laindon, Basildon SS15",5,3,2,
339,"£545,000","Prescott, Langdon Hills, Basildon, Essex SS16",3,2,1,
340,"£390,000","School Avenue, Laindon, Basildon SS15",3,2,3,
341,"£280,000","Pamplins, Basildon SS15",3,2,1,
342,"£250,000","Lee Chapel North, Basildon, Essex SS15",3,1,1,
343,"£950,000","Lower Dunton Road, Bulphan, Upminster RM14",4,3,3,
344,"£535,000","Shelsley Drive, Langdon Hills, Basildon SS16",3,3,2,
345,"£260,000","Clayburn Side, Basildon, Essex SS14",2,2,1,
346,"£560,000","Parker Drive, Basildon SS16",4,2,2,
347,"£425,000","Gordon Road, Basildon, Essex SS14",,,,
348,"£375,000","Rosecroft Close, Langdon Hills SS16",3,1,1,
349,"£210,000","Shirley Gardens, Burnt Mills, Basildon, Essex SS13",2,1,1,
350,"£650,000","Pound Lane, Bowers Gifford, Basildon SS13",5,3,3,
351,"£280,000","Hollands Walk, Basildon SS16",3,2,1,
352,"£240,000","Marlborough Drive, Langdon Hills, Basildon SS16",2,1,1,
353,"£280,000","Basildon, Essex, United Kingdom SS14",3,1,1,
354,"£175,000","Clay Hill Road, Basildon SS16",2,1,1,
355,"£314,000","Park Terrace, Church Park Road, Pitsea, Basildon, Essex SS13",4,2,1,
356,"£130,000","Widgeons, Pitsea, Basildon, Essex SS13",1,1,1,
357,"£475,000","Park Terrace, Church Park Road, Pitsea, Basildon, Essex SS13",4,2,1,
358,"£250,000","Whitcroft, Langdon Hills, Basildon, Essex SS16",2,1,1,
359,"£240,000","Vermont Close, Basildon, Essex SS13",,,,
360,"£260,000","Warren Drive, Basildon, Essex SS14",2,1,1,
361,"£200,000","Lower Street, Basildon, Essex SS15",,,,
362,"£260,000","Carlisle Way, Pitsea, Basildon, Essex SS13",3,3,1,
363,"£550,000","Halstow Way, Pitsea, Basildon, Essex SS13",5,2,2,
364,"£270,000","Shepeshall, Basildon SS15",3,1,1,
365,"£220,000","Britten Avenue, Basildon, Essex SS14",2,1,1,
366,"£750,000","Fletchers, Basildon, Essex SS16",5,2,2,
367,"£220,000","Britten Avenue, Basildon SS14",2,1,1,
368,"£220,000","Basildon, Essex, United Kingdom SS14",,,,
369,"£550,000","Berry Lane, Langdon Hills, Essex SS16",4,2,2,
370,"£250,000","Basildon, Essex SS14",2,1,1,
371,"£230,000","Pickwick Close, Laindon, Basildon, Essex SS15",2,1,1,
372,"£410,000","School Avenue, Basildon SS15",4,2,3,
373,"£195,000","Warwick Crescent, Laindon, Basildon, Essex SS15",1,1,1,
374,"£265,000","Havengore, Basildon, Essex SS13",3,2,1,
375,"£320,000","Wickham Place, Basildon SS16",4,1,2,
376,"£230,000","Brempsons, Basildon, Essex SS14",3,1,1,
377,"£180,000","Southernhay, Basildon, Essex SS14",1,1,1,
378,"£250,000","Warwick Crescent, Laindon, Basildon, Essex SS15",2,1,1,
379,"£500,000","Langdon Hills, Basildon, Essex SS16",4,2,1,
380,"£400,000","Tangham Walk, Basildon SS14",4,1,3,
381,"£230,000","Gladwyns, Laindon, Basildon SS15",2,1,1,
382,"£325,000","Northampton Grove, Langdon Hills, Essex SS16",3,1,2,
383,"£280,000","Cross Green, Basildon SS16",2,2,2,
384,"£210,000","Copperfields, Laindon, Basildon SS15",2,1,1,
385,"£350,000","Montague Street, Basildon SS14",3,2,3,
386,"£300,000","Sunnedon, Basildon SS16",3,1,2,
387,"£350,000","Southcote Crescent, Basildon, Essex SS14",3,2,2,
388,"£325,000","Lee Chapel South, Essex, United Kingdom SS16",3,1,2,
389,"£350,000","Beeleigh East, Basildon, Essex SS14",4,2,2,
390,"£230,000","Cherrydown East, Basildon, Essex SS16",2,1,2,
391,"£240,000","Alexander Road, Langdon Hills, Basildon, Essex SS16",2,1,1,
392,"£180,000","Pitsea, Basildon, Essex SS13",2,1,1,
393,"£425,000","Eisenhower Road, Basildon, Essex SS15",4,2,1,
394,"£281,000","Eisenhower Road, Basildon, Essex SS15",4,2,1,
395,"£375,000","Warwick Crescent, Basildon SS15",3,1,3,
396,"£189,000","Copperfields, Laindon, Essex SS15",,,,
397,"£140,000","South Crockerford, Vange, Basildon SS16",1,1,1,
398,"£350,000","Montague Street, Basildon, Essex SS14",3,2,1,
399,"£350,000","Basildon, Essex, United Kingdom SS14",,,,
