,price,address,beds,reception,bathrooms,contact_number
37,"£4,000","Demesne Road, Whalley Range, Manchester M16",1,1,,
38,"£145,000","Claremont Road, Salford, Greater Manchester M6",3,2,1,
39,"£324,950","Store Street, Manchester M1",2,,2,
40,"£66,500","Jersey Street, Manchester M4",2,,,
41,"£190,000","Jersey Street, Manchester M4",2,,,
42,"£325,000","Borrowdale Crescent, West Didsbury, Didsbury, Manchester M20",3,2,1,
43,"£200,000","Hornbeam Way, Manchester, Greater Manchester M4",2,1,1,
44,"£220,000","Edgeware Avenue, Manchester M25",3,1,1,
45,"£260,000","The Wentwood, Newton Street, Manchester M1",2,1,2,
46,"£175,000","115 Great Clowes Street, Salford, Greater Manchester M7",3,,,
47,"£145,000","Barton Place, Hornbeam Way, Manchester M4",1,1,1,
48,"£235,000","Castleway, Salford M6",3,2,1,
49,"£420,000","Wellington Street East, Salford M7",4,,1,
50,"£200,000","Oakwood Drive, Salford M6",3,2,1,
51,"£220,000","Islington Wharf, 151 Great Ancoats Street, Manchester, Greater Manchester M4",2,1,2,
52,"£230,000","1 Kelso Place, Manchester M15",2,1,2,
53,"£270,000","Norleigh Road, Manchester M22",3,1,1,
54,"£90,000","Edge Lane, Chorlton, Manchester, Greater Manchester M32",1,1,1,
55,"£650,000","Alexandra Road South, Whalley Range, Manchester, Greater Manchester M16",5,3,3,
56,"£300,000","Glen Avenue, Worsley, Manchester M28",3,3,1,
57,"£400,000","Patterson Avenue, Chorlton Cum Hardy, Manchester M21",3,2,1,
58,"£230,000","Thornleigh Road, Manchester, Greater Manchester M14",3,1,2,
59,"£850,000","Hesketh Avenue, Didsbury, Manchester M20",4,,3,
60,"£150,000","Wilbraham Road, Fallowfield, Manchester M14",2,1,2,
61,"£230,000","Holden Drive, Pendlebury, Swinton, Manchester M27",3,1,3,
62,"£285,000","Stanley Avenue North, Prestwich, Manchester M25",3,1,1,
63,"£365,000","Rye Bank Road, Firswood, Manchester M16",5,1,3,
64,"£165,000","Manor Road, Swinton, Manchester M27",3,2,1,
65,"£155,000","Parrs Wood Road, Didsbury, Manchester M20",2,,1,
66,"£135,000","Moston Lane, Moston, Manchester M40",3,2,1,
67,"£450,000","Springbridge Road, Manchester M16",4,2,1,
68,"£255,000","Mount Drive, Urmston, Trafford M41",3,2,1,
69,"£350,000","Castlefield Avenue, Salford M7",3,1,1,
70,"£170,000","Broadway, Manchester M40",3,2,2,
71,"£195,000","Ludgate Street, Manchester M4",1,1,1,
72,"£250,000","Ludgate Street, Manchester M4",2,1,2,
73,"£294,995","""Duco"" at Talbot Road, Stretford, Manchester M32",3,2,2,
